id;bps_kota_nama;latitude;longitude;Jumlah SD Negeri;Jumlah SD Swasta;Total SD;Jumlah Perpustakaan Umum;Jumlah Perpustakaan Digital;Total Perpustakaan;Jumlah Pemustaka;Jumlah Buku;Presentase Literasi;Jumlah Mengulang Sekolah;Jumlah Putus Sekolah;Jumlah Siswa Mengulang & Putus Sekolah;Presentasi Siswa Mengulang & Putus Sekolah
1;KABUPATEN BOGOR;-6479679;106824965;45;170;215;1;1;2;27292;1203; 14,80 ;3244;1126;4370;19,35
2;KABUPATEN SUKABUMI;-6915727;106932576;27;68;95;1;1;2;51351;443; 14,62 ;399;105;504;2,23
3;KABUPATEN CIANJUR;-6822558;107139542;18;85;103;1;1;2;16246;1309; 13,98 ;338;359;697;3,09
4;KABUPATEN BANDUNG;-7012851;107528627;19;98;117;1;1;2;16778;2612; 18,92 ;1196;402;1598;7,08
5;KABUPATEN GARUT;-7202988;107885592;32;101;133;1;1;2;38069;1363; 16,60 ;1219;581;1800;7,97
6;KABUPATEN TASIKMALAYA;-7361212;108112488;18;58;76;1;1;2;558;1416; 12,64 ;214;85;299;1,32
7;KABUPATEN CIAMIS;-7325788;1083514;18;18;36;1;1;2;18508;1122; 13,53 ;143;48;191;0,85
8;KABUPATEN KUNINGAN;-6976233;108482982;19;13;32;1;1;2;10446;1229; 13,04 ;190;110;300;1,33
9;KABUPATEN CIREBON;-6764507;108478858;23;30;53;1;1;2;26192;1363; 15,28 ;1537;345;1882;8,33
10;KABUPATEN MAJALENGKA;-6836531;108227876;16;9;25;1;1;2;23670;1122; 14,10 ;271;109;380;1,68
11;KABUPATEN SUMEDANG;-6861126;107920102;15;14;29;1;1;2;15999;1042; 12,95 ;169;75;244;1,08
12;KABUPATEN INDRAMAYU;-6327234;108322903;23;31;54;1;1;2;39091;1229; 16,21 ;942;237;1179;5,22
13;KABUPATEN SUBANG;-6571549;107762495;21;29;50;1;1;2;27129;1149; 14,58 ;882;286;1168;5,17
14;KABUPATEN PURWAKARTA;-6551701;107446541;17;12;29;1;1;2;33399;588; 13,18 ;485;88;573;2,54
15;KABUPATEN KARAWANG;-6301721;10730529;30;23;53;1;1;2;11844;1309; 13,49 ;960;465;1425;6,31
16;KABUPATEN BEKASI;-6364614;107172509;44;78;122;2;1;3;76352;1122; 23,50 ;1050;450;1500;6,64
17;KABUPATEN BANDUNG BARAT;-6840651;107512302;17;44;61;1;1;2;14500;828; 11,98 ;554;247;801;3,55
18;KABUPATEN PANGANDARAN;-7701397;108495155;5;3;8;1;1;2;10186;801; 11,40 ;74;18;92;0,41
19;KOTA BOGOR;-6594946;106794913;10;45;55;1;1;2;99615;561; 20,41 ;335;124;459;2,03
20;KOTA SUKABUMI;-6918366;106931496;5;15;20;1;1;2;32689;454; 12,60 ;108;30;138;0,61
21;KOTA BANDUNG;-6910786;107609757;27;144;171;1;1;2;110948;1149; 23,87 ;391;122;513;2,27
22;KOTA CIREBON;-6707076;108557818;9;18;27;1;1;2;18902;534; 11,37 ;203;87;290;1,28
23;KOTA BEKASI;-6236221;106994293;22;89;111;1;1;2;8619;641; 10,63 ;784;460;1244;5,51
24;KOTA DEPOK;-6394473;106822692;15;60;75;1;1;2;62400;534; 16,19 ;396;193;589;2,61
25;KOTA CIMAHI;-687121;107555486;6;10;16;1;1;2;10907;454; 10,18 ;219;49;268;1,19
26;KOTA TASIKMALAYA;-7316436;1081971;10;18;28;1;1;2;20215;561; 11,62 ;49;25;74;0,33
27;KOTA BANJAR;-7362487;10855887;3;2;5;1;1;2;81071;561; 18,35 ;0;7;7;0,03
;;;;;;;;;;;;;;;;
;Total;;;;;;28;27;55;902976;26699;;;;22585;
